JP_NAME,Value,CountryCode,,
アイルランド ,1,IE,,
アゼルバイジャン ,11,AZ,,
アフガニスタン,23,AF,,
アメリカ合衆国 ,191,US,,
アルジェリア ,13,DZ,,
アルゼンチン ,18,AR,,
アルバニア ,4,AL,,
アルメニア ,2,AM,,
アンゴラ ,4,AO,,
イエメン ,4,YE,,
イギリス,11,GB,,
イスラエル,13,IL,,
イタリア,31,IT,,
イラク,8,IQ,,
イラン ,25,IR,,
インド ,197,IN,,
インドネシア ,146,ID,,
ウガンダ ,6,UG,,
ウクライナ ,15,UA,,
ウズベキスタン,3,UZ,,
ウルグアイ,1,UY,,
エクアドル ,14,EC,,
エジプト ,3,EG,,
エストニア,3,EE,,
エチオピア ,28,ET,,
エリトリア ,1,ER,,
エルサルバドル ,2,SV,,
オーストラリア,108,AU,,
オマーン,8,OM,,
オランダ ,6,NL,,
ガーナ ,5,GH,,
ガイアナ,12,GY,,
カザフスタン,1,KZ,,
カナダ ,87,CA,,
ガボン ,8,GA,,
カメルーン,36,CM,,
カンボジア,19,KH,,
ギニア,8,GN,,
ギリシャ ,10,GR,,
キルギス,2,KG,,
グアム,1,GU,,
グアテマラ,23,GT,,
クック諸島,4,CK,,
グリーンランド,3,GL,,
グルジア ,11,GE,,
クロアチア ,8,HR,,
ケニア,13,KE,,
コートジボワール,4,CI,,
コスタリカ ,8,CR,,
コロンビア,68,CO,,
コンゴ共和国,2,CG,,
コンゴ民主共和国,6,CD,,
サンマリノ,1,SM,,
シエラレオネ ,5,SL,,
シリア,7,SY,,
スイス,8,CH,,
スーダン,65,SD,,
南スーダン,21,SS,,
スウェーデン,9,SE,,
スペイン,5,ES,,
スリナム ,8,SR,,
スリランカ,1,LK,,
スロバキア,5,SK,,
スロベニア ,3,SL,,
赤道ギニア,3,GQ,,
セネガル ,15,SN,,
セルビア ,6,RS,,
ソロモン諸島 ,17,SB,,
タイ,25,TH,,
大韓民国,1,KR,,
タジキスタン,11,TJ,,
タンザニア,12,TZ,,
チェコ,1,CZ,,
チャド,29,TD,,
中央アフリカ,5,CF,,
中国,144,CN,,
チリ,7,CL,,
ツバル,1,TV,,
デンマーク,4,DK,,
ドイツ,13,DE,,
ドミニカ,1,DM,,
トルクメニスタン,1,TM,,
トルコ ,18,TR,,
ナイジェリア,29,NG,,
ナウル,2,NR,,
ナミビア,1,NA,,
ニウエ,1,NU,,
ニカラグア,11,NI,,
ニジェール,2,NE,,
西サハラ ,1,EH,,
日本,8,JP,,
ニューカレドニア,18,NC,,
ニュージーランド,1,NZ,,
ネパール,71,NP,,
ノルウェー,6,NO,,
パキスタン,28,PK,,
パナマ ,8,PA,,
パプアニューギニア,98,PG,,
バヌアツ,46,VU,,
パラオ,2,PW,,
パラグアイ,12,PY,,
パレスチナ,1,PS,,
ハンガリー,5,HU,,
バングラデシュ,5,BD,,
東ティモール,6,TL,,
ピトケアン諸島,1,PN,,
フィジー,1,FJ,,
フィリピン ,15,PH,,
フィンランド,7,FI,,
ブータン ,19,BT,,
フェロー諸島,1,FO,,
ブラジル,190,BR,,
フランス,26,FR,,
フランス領ギアナ,4,GF,,
フランス領ポリネシア,4,PF,,
ブルガリア,6,BG,,
ブルキナファソ,1,BF,,
ベトナム,27,VN,,
ベニン,1,BJ,,
ベネズエラ ,34,VE,,
ベラルーシ,4,BY,,
ベリーズ ,4,BZ,,
ペルー ,62,PE,,
ベルギー,8,BE,,
ポーランド,9,PL,,
ボスニア・ヘルツェゴビナ,2,BA,,
ボツワナ,11,BW,,
ボリビア,39,BO,,
ポルトガル,1,PT,,
ホンジュラス,8,HN,,
マケドニア,7,MK,,
マリ,2,ML,,
マレーシア ,26,MY,,
ミクロネシア連邦,13,FM,,
南アフリカ,10,ZA,,
ミャンマー,28,MM,,
メキシコ,143,MX,,
モーリタニア,3,MR,,
モナコ,1,MC,,
モルドバ,2,MD,,
モロッコ,7,MA,,
モンゴル,7,MN,,
モンテネグロ ,1,ME,,
ヨルダン,2,JO,,
ラオス ,32,LA,,
ラトビア,5,LV,,
リトアニア,4,LT,,
リビア ,6,LY,,
リヒテンシュタイン,1,LI,,
ルーマニア ,11,RO,,
ルクセンブルク,3,LU,,
レソト ,1,LS,,
レバノン,2,LB,,
ロシア,131,RU,,